,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
217,,,KALUCHAK,,,,,,,,,,,,,,,,,,,,,,,,
218,,,NEW PLOT JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
219,,,CITIZENS COOP BANK JAMMU NEW PLOTS,,,,,,,,,,,,,,,,,,,,,,,,
220,,,CITIZENS COOP BANK JAMMU JANIPUR,,,,,,,,,,,,,,,,,,,,,,,,
221,,,NARWAL JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
222,,,NARWAL,,,,,,,,,,,,,,,,,,,,,,,,
223,,,TRANSPORT NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
224,,,CITIZENS COOP BANK JAMMU TRNSPRTNGR,,,,,,,,,,,,,,,,,,,,,,,,
225,,,CITIZENS COOP BANK JAMMU SHEIKHNGR,,,,,,,,,,,,,,,,,,,,,,,,
226,,,NANAK NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
227,,,D A C  DATA ARCHIVAL CELL,,,,,,,,,,,,,,,,,,,,,,,,
228,,,JAMMU RAILWAY ROAD,,,,,,,,,,,,,,,,,,,,,,,,
229,,,SHASTRI NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
230,,,CITIZENS COOP BANK JAMMU C O,,,,,,,,,,,,,,,,,,,,,,,,
231,,,CITIZENS COOP BANK JAMMU WARE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,
232,,,CITIZENS COOP BANK JAMMU SHASTRINGR,,,,,,,,,,,,,,,,,,,,,,,,
233,,,JAMMU CANTT,,,,,,,,,,,,,,,,,,,,,,,,
234,,,"RAILWAY STATION, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
235,,,GANGYAL,,,,,,,,,,,,,,,,,,,,,,,,
236,,,BOHRI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
237,,,JAMMU-RAGHUNATH BAZAR,,,,,,,,,,,,,,,,,,,,,,,,
